title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
Good Kill,2014,2010,R,15 May 2015,102 min,"Drama, Thriller",Andrew Niccol,Andrew Niccol,"Fatima El Bahraouy, El Khttabi Abdelouahab, Ethan Hawke, Bruce Greenwood",A family man begins to question the ethics of his job as a drone pilot.,English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNDIxNzE5OF5BMl5BanBnXkFtZTgwODMxMTExNTE@._V1_SX300.jpg,Internet Movie Database,6.4/10,63,6.4,"18,222",tt3297330,01 Sep 2015,N/A,IFC Films,http://www.ifcfilms.com/films/good-kill,True,http://www.rottentomatoes.com/m/good_kill/
Star Trek: The Motion Picture,1979,1970,G,08 Dec 1979,132 min,"Adventure, Mystery, Sci-Fi",Robert Wise,"Gene Roddenberry (based on Star Trek created by), Harold Livingston (screenplay), Alan Dean Foster (story)","William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan","When an alien spacecraft of enormous power is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine and hopefully stop the intruder.","English, Klingon",USA,Nominated for 3 Oscars. Another 3 wins & 16 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzNlMzNlNmQtNmYzNS00YmU5LWIzYWQtMDRkYzIzNzEzOTIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,48,6.4,"67,387",tt0079945,06 Nov 2001,N/A,Paramount Home Video,N/A,True,http://www.rottentomatoes.com/m/star_trek_the_motion_picture/
The Producers,2005,2000,PG-13,25 Dec 2005,134 min,"Comedy, Musical",Susan Stroman,"Mel Brooks (screenplay), Thomas Meehan (screenplay), Mel Brooks, Mel Brooks, Thomas Meehan, Mel Brooks","Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell","After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",English,USA,Nominated for 4 Golden Globes. Another 1 win & 13 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NjAyNzg2OF5BMl5BanBnXkFtZTcwOTIyMDUzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,52,6.4,"36,330",tt0395251,16 May 2006,"$19,151,907",Universal Pictures,http://www.theproducersmovie.com/,True,http://www.rottentomatoes.com/m/producers_the_movie_musical/
DragonHeart,1996,1990,PG-13,31 May 1996,103 min,"Action, Adventure, Fantasy",Rob Cohen,"Patrick Read Johnson (story), Charles Edward Pogue (story), Charles Edward Pogue (screenplay)","Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer",The last dragon and a disillusioned dragonslaying knight must cooperate to stop an evil king who was given partial immortality.,English,USA,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MjEzODczMF5BMl5BanBnXkFtZTYwODUwMzA5._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"81,210",tt0116136,24 Feb 1998,N/A,MCA Universal Home Video,N/A,True,http://www.rottentomatoes.com/m/dragonheart/
Alien 3,1992,1990,R,22 May 1992,114 min,"Action, Horror, Sci-Fi",David Fincher,"Dan O'Bannon (characters), Ronald Shusett (characters), Vincent Ward (story), David Giler (screenplay), Walter Hill (screenplay), Larry Ferguson (screenplay)","Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann","After her last encounter, Ripley crash-lands on Fiorina Fury 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she brought along an unwelcome visitor.",English,USA,Nominated for 1 Oscar. Another 5 wins & 19 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNThhODA5Y2ItMzEzYy00MjE3LTgxYTUtNDIzYjc2ZTllODE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,59,6.4,"227,131",tt0103644,01 Jun 1999,N/A,Twentieth Century Fox Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/alien3/
Newlyweds,2011,2010,NOT RATED,26 Dec 2011,95 min,"Comedy, Drama",Edward Burns,Edward Burns,"Edward Burns, Kerry Bishé, Marsha Dietlein, Caitlin FitzGerald",Newlyweds Buzzy and Katie find their blissful life disrupted by the arrival of his half-sister and news of her sister's marriage troubles.,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNTExNjI3MV5BMl5BanBnXkFtZTcwNzUzNzYwNw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"1,376",tt1880418,22 May 2012,N/A,Phase 4 Films,http://www.edwardburns.net/,True,http://www.rottentomatoes.com/m/newlyweds/
Supporting Characters,2012,2010,NOT RATED,25 Jan 2013,87 min,Comedy,Daniel Schechter,"Daniel Schechter, Tarik Lowe","Alex Karpovsky, Tarik Lowe, Arielle Kebbel, Sophia Takal",Two New York film editors balance their personal relationships while reworking a movie in crisis.,"English, Spanish",USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1NjEyNjgyOF5BMl5BanBnXkFtZTcwNjUwMzMwOQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,62,6.4,785,tt1874789,24 Jun 2013,N/A,Independent Pictures,http://www.supportingcharacters-film.com/,True,http://www.rottentomatoes.com/m/supporting_characters/
Cliffhanger,1993,1990,R,28 May 1993,112 min,"Action, Adventure, Thriller",Renny Harlin,"John Long (premise), Michael France (screen story), Michael France (screenplay), Sylvester Stallone (screenplay)","Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,English,"USA, Italy, France",Nominated for 3 Oscars. Another 1 win & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjU5YmFjMjctYThkOS00MTQyLThjZmMtOWIyYzk2ZjU0ODkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,60,6.4,"101,303",tt0106582,11 Nov 1997,N/A,Sony Pictures Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/1044214-cliffhanger/
The Quiet,2005,2000,R,25 Aug 2006,96 min,"Crime, Drama, Thriller",Jamie Babbit,"Abdi Nazemian, Micah Schraft","Elisha Cuthbert, Camilla Belle, Edie Falco, Martin Donovan","Dot (Belle), a young deaf and mute woman, is sent to live with her godparents (Falco and Donovan) and their daughter (Cuthbert). The new addition to the household realizes that everything is not copacetic in the home, and the family's dark come to light.","English, American Sign Language",USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDA4NDIyOV5BMl5BanBnXkFtZTcwNDM5OTQzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,29,6.4,"13,824",tt0414951,13 Feb 2007,"$289,969",Sony Pictures Classics,http://www.sonyclassics.com/thequiet/,True,http://www.rottentomatoes.com/m/the_quiet/
The Brass Teapot,2012,2010,R,15 Apr 2013,101 min,"Comedy, Fantasy, Thriller",Ramaa Mosley,"Tim Macy (screenplay), Ramaa Mosley (story), Tim Macy (story)","Juno Temple, Michael Angarano, Alexis Bledel, Billy Magnussen","When a couple discovers that a brass teapot makes them money whenever they hurt themselves, they must come to terms with how far they are willing to go.",English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTEyNDIxOTE3NDheQTJeQWpwZ15BbWU3MDI0ODE5OTg@._V1_SX300.jpg,Internet Movie Database,6.4/10,43,6.4,"12,614",tt1935902,18 Jun 2013,N/A,Magnolia Pictures,http://www.magpictures.com/thebrassteapot/,True,http://www.rottentomatoes.com/m/the_brass_teapot/
Space Cowboys,2000,2000,PG-13,04 Aug 2000,130 min,"Action, Adventure, Thriller",Clint Eastwood,"Ken Kaufman, Howard Klausner","Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner","When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",English,USA,Nominated for 1 Oscar. Another 4 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_SX300.jpg,Internet Movie Database,6.4/10,73,6.4,"62,871",tt0186566,17 Apr 2001,N/A,Warner Bros. Pictures,http://www.spacecowboys.net,True,http://www.rottentomatoes.com/m/space_cowboys/
Rambo: First Blood Part II,1985,1980,R,22 May 1985,96 min,"Action, Adventure, Thriller",George P. Cosmatos,"David Morrell (based on characters created by), Kevin Jarre (story by), Sylvester Stallone (screenplay), James Cameron (screenplay)","Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff",John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,"English, Vietnamese",USA,Nominated for 1 Oscar. Another 5 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWFkY2I1ZDAtNmZhNS00NjVlLWJiMGQtMGQ1ZmM0ZDA5ODg5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"124,465",tt0089880,29 Aug 2000,N/A,TriStar Pictures,N/A,True,http://www.rottentomatoes.com/m/rambo-first-blood-part-ii/
The Singles Ward,2002,2000,PG,30 Jan 2002,102 min,"Comedy, Drama, Romance",Kurt Hale,"Kurt Hale, John E. Moyer","Will Swenson, Connie Young, Daryn Tufts, Kirby Heyborne","When Jonathan Jordan gets divorced he's thrust back into the world of being a single Mormon - a world who's ultimate goal is eternal marriage. Struggling to fit in, Jonathan decides to stop...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNDAwNjc4M15BMl5BanBnXkFtZTYwMzQ5NDk5._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"1,135",tt0306069,28 Mar 2006,"$1,136,236",Halestorm Entertainment,http://www.singleswardthemovie.com,True,http://www.rottentomatoes.com/m/the-singles-ward/
Dead Snow,2009,2000,NOT RATED,09 Jan 2009,91 min,"Comedy, Horror",Tommy Wirkola,"Tommy Wirkola, Stig Frode Henriksen","Vegar Hoel, Stig Frode Henriksen, Charlotte Frogner, Lasse Valdal","A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies.",Norwegian,Norway,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiM2FhOTUtZTE4My00ZDNlLWEyZWItZDBiNDFjZDk2MWE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,61,6.4,"57,138",tt1278340,23 Feb 2010,N/A,IFC,http://www.dodsno.no/,True,http://www.rottentomatoes.com/m/dead_snow/
Mona Lisa Smile,2003,2000,PG-13,19 Dec 2003,117 min,Drama,Mike Newell,"Lawrence Konner, Mark Rosenthal","Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal",A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.,"English, Italian",USA,Nominated for 1 Golden Globe. Another 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTAxMjdjNzMtNTk1OC00YzkwLTgyMWYtYzc3NTFjYWRiNzNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,45,6.4,"64,835",tt0304415,09 Mar 2004,"$63,695,760",Sony Pictures Releasing,http://www.sonypictures.com/movies/monalisasmile/,True,http://www.rottentomatoes.com/m/mona_lisa_smile/
Elza,2011,2010,N/A,17 Sep 2011,78 min,Drama,Mariette Monpierre,"Mama Keïta, Mariette Monpierre","Stana Roumillac, Vincent Byrd Le Sage, Christophe Cherki, Sophie Berger",A young Parisian woman of Caribbean descent returns to her native island of Guadeloupe looking for the father she has never known.,French,"France, Guadeloupe",2 wins & 2 nominations.,http://ia.media-imdb.com/images/M/MV5BMTk1NjM2MTk1OF5BMl5BanBnXkFtZTcwNTMyNTk2Ng@@._V1_SX300.jpg,Internet Movie Database,6.4/10,76,6.4,21,tt1852001,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/le_bonheur_delza_2012/
Compliance,2012,2010,R,26 Sep 2012,90 min,"Biography, Crime, Drama",Craig Zobel,Craig Zobel,"Ann Dowd, Matt Servitto, Dreama Walker, Pat Healy","A normal Friday service at a fast food restaurant becomes interrupted by a police officer who claims an employee stole from a customer, but something more sinister is going on.",English,USA,7 wins & 33 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMjkwMTk3OV5BMl5BanBnXkFtZTcwNDIwODcwOA@@._V1_SX300.jpg,Internet Movie Database,6.4/10,68,6.4,"26,163",tt1971352,08 Jan 2013,"$318,622",Magnolia Pictures,http://www.magpictures.com/compliance/,True,http://www.rottentomatoes.com/m/compliance_2012/
Click,2006,2000,PG-13,23 Jun 2006,107 min,"Comedy, Drama, Fantasy",Frank Coraci,"Steve Koren, Mark O'Keefe","Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff",A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,"English, Portuguese, Japanese",USA,Nominated for 1 Oscar. Another 3 wins & 11 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1MTUxNDY4NzReQTJeQWpwZ15BbWU2MDE3ODAxNw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,45,6.4,"259,557",tt0389860,10 Oct 2006,"$137,340,146",Sony Pictures Releasing,http://www.sonypictures.com/movies/click/,True,http://www.rottentomatoes.com/m/click/
Monsters,2010,2010,R,03 Dec 2010,94 min,"Drama, Sci-Fi, Thriller",Gareth Edwards,Gareth Edwards,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides, Annalee Jefferies","Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border.","English, Spanish",UK,Nominated for 1 BAFTA Film Award. Another 12 wins & 13 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MzMyNjExMl5BMl5BanBnXkFtZTcwMzI5NjM3Mw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,63,6.4,"79,332",tt1470827,01 Feb 2011,"$237,301",Magnolia Pictures,http://monstersfilm.com/,True,https://www.rottentomatoes.com/m/monsters-2010
Bang,1995,1990,N/A,01 Nov 1997,98 min,"Crime, Drama",Ash Baron-Cohen,Ash Baron-Cohen,"Darling Narita, Peter Greene, Michael Newland, Erik Schrody","A young woman in L.A. is having a bad day: she's evicted, an audition ends with a producer furious she won't trade sex for the part, and a policeman nabs her for something she didn't do, ...",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMDc5ODc2OF5BMl5BanBnXkFtZTcwMDE0MjkzMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,445,tt0109266,21 Nov 2006,N/A,Renegade Film,N/A,True,http://www.rottentomatoes.com/m/bang_1995/
Some Guy Who Kills People,2011,2010,R,05 Oct 2012,97 min,"Comedy, Crime, Drama",Jack Perez,Ryan A. Levin,"Kevin Corrigan, Barry Bostwick, Karen Black, Leo Fitzpatrick","Ken Boyd, a lonely man fresh out of the loony bin, who sets out to kill those he deems responsible for his miserable life.",English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMTcwMDAyNV5BMl5BanBnXkFtZTcwNzYzNTQ4Nw@@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"4,681",tt1568341,03 Jul 2012,N/A,Lightning Media,http://www.someguywhokillspeople.com/,True,http://www.rottentomatoes.com/m/some_guy_who_kills_people_2011/
Funny Ha Ha,2002,2000,N/A,19 Apr 2007,89 min,"Comedy, Drama",Andrew Bujalski,Andrew Bujalski,"Kate Dollenmayer, Mark Herlehy, Christian Rudder, Jennifer L. Schaper","Marnie just graduated from college, drinks likes she's still in school, and is looking for a temporary job but a permanent boyfriend. She loves a guy who doesn't love her (?), ping-pongs ...",English,USA,2 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1OTU5MjI1NF5BMl5BanBnXkFtZTcwNjkwMzgyMQ@@._V1_SX300.jpg,Internet Movie Database,6.4/10,78,6.4,"1,971",tt0327753,16 Aug 2005,N/A,Goodbye Cruel Releasing,http://funnyhahafilm.com/,True,http://www.rottentomatoes.com/m/funny-ha-ha/
Death Becomes Her,1992,1990,PG-13,31 Jul 1992,104 min,"Comedy, Fantasy, Horror",Robert Zemeckis,"Martin Donovan, David Koepp","Meryl Streep, Bruce Willis, Goldie Hawn, Isabella Rossellini","When a woman learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",English,USA,Won 1 Oscar. Another 3 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzM2YjIwMzgtZTg4Yy00NmJlLWIzOTYtYTQ0Zjc3NjIyZDcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,"83,679",tt0104070,09 Dec 2008,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/death_becomes_them_1992/
Gabriela,1983,1980,R,06 Oct 1983,99 min,"Comedy, Drama, Romance",Bruno Barreto,"Jorge Amado (novel), Bruno Barreto, Leopoldo Serran, Flávio R. Tambellini","Sonia Braga, Marcello Mastroianni, Antonio Cantafora, Paulo Goulart","In 1925, Gabriela becomes cook, mistress, and then wife of Nacib, a bar owner in a small Brazilian coastal town runs by the local colonels. Nacib becomes tired of Gabriela's uneducated ways...",Portuguese,Brazil,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNDA4OTI3NF5BMl5BanBnXkFtZTYwNDY2Mjg5._V1_SX300.jpg,Internet Movie Database,6.4/10,N/A,6.4,777,tt0085575,N/A,N/A,N/A,N/A,True,https://www.rottentomatoes.com/m/gabriela
The Assassin,2015,2010,NOT RATED,27 Aug 2015,105 min,"Action, Drama, History",Hsiao-Hsien Hou,"Cheng Ah (screenplay), T'ien-wen Chu (screenwriter), Hsiao-Hsien Hou (screenplay), Hai-Meng Hsieh (screenplay), Xing Pei (short story)","Qi Shu, Chen Chang, Yun Zhou, Satoshi Tsumabuki",A female assassin receives a dangerous mission to kill a political leader in eighth-century China.,Mandarin,"Taiwan, China, Hong Kong, France",Nominated for 1 BAFTA Film Award. Another 28 wins & 60 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTczMTk3MjMyOV5BMl5BanBnXkFtZTgwMjA2Mjk4NjE@._V1_SX300.jpg,Internet Movie Database,6.4/10,80,6.4,"11,767",tt3508840,26 Jan 2016,"$94,944",Central Motion Pictures Corporation,N/A,True,http://www.rottentomatoes.com/m/the_assassin_2015/
Minions,2015,2010,PG,10 Jul 2015,91 min,"Animation, Action, Adventure","Kyle Balda, Pierre Coffin",Brian Lynch,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","English, Spanish",USA,Nominated for 1 BAFTA Film Award. Another 1 win & 18 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg,Internet Movie Database,6.4/10,56,6.4,"161,365",tt2293640,08 Dec 2015,"$277,969,969",Universal Pictures,http://www.minionsmovie.com/,True,http://www.rottentomatoes.com/m/minions/
The Perfect Storm,2000,2000,PG-13,30 Jun 2000,130 min,"Action, Adventure, Drama",Wolfgang Petersen,"Sebastian Junger (book), William D. Wittliff (screenplay)","George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane",An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,English,USA,Nominated for 2 Oscars. Another 4 wins & 24 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOGU2MWRiYmQtMDY1MS00OTUzLTkzYTktYjE5YTE4MTI0NzRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,6.4/10,59,6.4,"138,205",tt0177971,02 Sep 2008,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/big-boats-busy-harbors/
The Iron Lady,2011,2010,PG-13,13 Jan 2012,105 min,"Biography, Drama",Phyllida Lloyd,Abi Morgan (screenplay),"Meryl Streep, Jim Broadbent, Susan Brown, Alice da Cunha","An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",English,"UK, France",Won 2 Oscars. Another 23 wins & 47 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODEzNDUyMDE3NF5BMl5BanBnXkFtZTcwMTgzOTg3Ng@@._V1_SX300.jpg,Internet Movie Database,6.4/10,54,6.4,"87,532",tt1007029,10 Apr 2012,"$29,959,436",The Weinstein Co.,http://weinsteinco.com/sites/iron-lady/,True,http://www.rottentomatoes.com/m/the_iron_lady/
